"ABE"	[["XE", 2.867544952821791], ["TW", 3.6586345381526106], ["NW", 4.623858513466652], ["US", 4.709423227831546], ["AA", 5.237913486005089], ["PI", 5.56198347107438], ["EA", 6.583820662768031], ["9.0", 9.04957264957265], ["OH", 9.795808605341247], ["DH", 10.056854983807124], ["UA", 10.14009973599296], ["9E", 10.303881090008257], ["OO", 14.063383124747679], ["EV", 17.390415079205937], ["DL", 25.460373521699577], ["YV", 25.9074321317312]]
"ABI"	[["US", 0.0], ["XE", 1.3611111111111112], ["MQ", 7.553585680082088], ["OO", 8.43457300275482], ["EV", 13.75]]
"ABQ"	[["TZ", 0.0], ["YV", 3.3849056603773584], ["PS", 4.110294117647059], ["F9", 4.456928838951311], ["CO", 4.613883904879836], ["PA (1)", 4.923076923076923], ["TW", 5.70396593553498], ["US", 5.845261256253474], ["HP", 5.966030070974972], ["DL", 6.5582143753413735], ["UA", 6.933204641674162], ["EA", 6.936342592592593], ["AA", 6.942442248320586], ["OO", 7.232639827073764], ["NW", 7.836248740727173], ["XE", 8.305986051917861], ["WN", 8.82275770915486], ["MQ", 14.601190476190476], ["EV", 16.395604395604394]]
"ABY"	[["EV", 11.615639057951839], ["OH", 21.745454545454546]]
"ACK"	[["AA", 8.75], ["CO", 21.830357142857142], ["XE", 27.21716738197425], ["OH", 29.387755102040817], ["B6", 47.73221757322176]]
"ACT"	[["MQ", 5.413343090620807], ["OO", 7.093978102189781]]
"ACV"	[["OO", 13.291244870041039], ["UA", 26.789473684210527]]
"ACY"	[["US", 4.397547050116303], ["DH", 6.7936507936507935], ["OH", 6.7962884858709405], ["EV", 22.924468085106383], ["MQ", 106.0]]
"ADK"	[["AS", 27.772727272727273]]
"ADQ"	[["AS", 11.344360568383658]]
"AEX"	[["XE", 5.972536571901739], ["MQ", 12.984958506224066], ["EV", 13.949086884338683]]
"AGS"	[["US", 2.946843853820598], ["PI", 4.287646528403967], ["CO", 5.714285714285714], ["DL", 6.635547708379313], ["OH", 7.47986577181208], ["YV", 10.2], ["EV", 14.743188801638784], ["XE", 16.504338948443085]]
"AKN"	[["AS", 12.773476569735136]]
