"LAW"	[["DFW", 6.485872036375446], ["ATL", 9.688787185354691]]
"LAX"	[["LAX", 0.0], ["MAF", 0.0], ["SDF", 0.0], ["BZN", 1.0], ["VIS", 2.4805194805194803], ["PMD", 3.0], ["IYK", 3.6435884088148534], ["SNA", 3.9945289317507418], ["MEM", 4.117761179551848], ["CLD", 4.594013022074003], ["SMX", 4.640800215304567], ["ONT", 4.670675155230684], ["MRY", 4.689920851719549], ["OXR", 4.724840343536666], ["SBA", 4.825937581956465], ["SUN", 5.0], ["SBP", 5.03946821769838], ["HDN", 5.17595818815331], ["CCR", 5.210017798118485], ["RDM", 5.279411764705882], ["BFL", 5.617546078785688], ["FAT", 5.660648569078235], ["SAN", 5.91346633901536], ["YUM", 6.048404016184625], ["IPL", 6.209851551956815], ["MFE", 6.266272189349112], ["MKE", 6.319003285870756], ["SCK", 6.346597248047601], ["PIE", 6.417302798982188], ["PSP", 6.506959391591333], ["DTW", 6.674088388506133], ["SGU", 6.6762246117084825], ["OKC", 7.038487508440243], ["MSP", 7.170759051240905], ["CLE", 7.386983968390935], ["DAL", 7.477157360406092], ["IND", 7.513831373198609], ["BDL", 7.544179523141655], ["BNA", 7.589490752914366], ["IAH", 7.6313180503263505], ["MOD", 7.844684684684685], ["PIT", 7.845546921697549], ["BOI", 7.845698362939742], ["SJC", 7.922964355950497], ["TPA", 8.189266923886356], ["MIA", 8.200942700026186], ["DFW", 8.25786684204418], ["CVG", 8.288310994004659], ["RDU", 8.299376299376299], ["IAD", 8.383321723554582], ["BOS", 8.517291662561334], ["PHL", 8.535945313575263], ["DAY", 8.540922126626958], ["STL", 8.763883780801766], ["JFK", 8.773016390486166], ["DSM", 8.777142857142858], ["MCO", 8.845950977350295], ["DCA", 8.86896197327852], ["CLT", 8.87642091588178], ["PDX", 8.880940239430805], ["EUG", 8.884156729131176], ["HOU", 8.912826502442131], ["ICT", 8.962577962577962], ["AUS", 9.030461958474028], ["TUL", 9.034426229508197], ["BWI", 9.083499264132975], ["COS", 9.096257971363254], ["MSY", 9.123197290827349], ["MDW", 9.171402270635165], ["LAS", 9.183096524728247], ["SJU", 9.237446197991392], ["OAK", 9.33807583474816], ["DEN", 9.342635178199231], ["SEA", 9.429991300714438], ["SLC", 9.495689806012107], ["EWR", 9.655736009103135], ["SMF", 9.805770927396336], ["MCI", 9.909001757038368], ["PHX", 9.978410959754243], ["FLL", 10.028519279032626], ["TUS", 10.147325882213693], ["MTJ", 10.164179104477611], ["JAX", 10.178947368421053], ["RNO", 10.180319166583724], ["CMH", 10.39337231968811], ["ABQ", 10.5328095684803], ["ORD", 10.648497974337719], ["SAT", 10.65756244853143], ["ATL", 10.671616879226226], ["GEG", 10.685057471264368], ["ANC", 10.697368421052632], ["LIH", 10.809704108820643], ["ELP", 10.881023892631978], ["KOA", 11.267299736743137], ["OGG", 11.6997328218127], ["ASE", 11.771992818671455], ["SFO", 11.8548723643308], ["JAC", 13.466666666666667], ["HNL", 13.699194199814803], ["XNA", 14.320491345616974], ["TWF", 14.76923076923077], ["MFR", 15.260010970927043], ["LGA", 18.655172413793103], ["LGB", 19.666666666666668], ["EGE", 24.33608490566038], ["BUR", 124.0]]
"LBB"	[["OAK", 0.0], ["HOU", 1.5454545454545454], ["MAF", 3.8225011205737336], ["PHX", 4.3107344632768365], ["ELP", 4.673819434476819], ["AUS", 4.878213108751373], ["AMA", 5.3472998137802605], ["LAS", 5.3841015364061455], ["ABQ", 6.10726891683212], ["DFW", 7.56608076951682], ["DAL", 7.570754631393682], ["IAH", 8.080601230707153], ["STL", 30.0]]
"LCH"	[["IAH", 7.4430528375733855]]
"LEX"	[["MCN", 0.0], ["OKC", 0.0], ["SHV", 0.0], ["HTS", 0.625], ["STL", 1.669849931787176], ["TRI", 2.0342465753424657], ["CRW", 2.471783295711061], ["BNA", 2.7063313875168387], ["DAY", 2.9649122807017543], ["TPA", 3.0], ["SDF", 3.4281027884089665], ["MEM", 4.0717948717948715], ["LGA", 4.338993329290479], ["DCA", 4.938303341902314], ["PIT", 5.387542572701074], ["CLT", 5.704778156996587], ["MCO", 7.555555555555555], ["CLE", 7.59236197592362], ["FLL", 8.225], ["DTW", 8.590728100113767], ["CVG", 8.68349552355002], ["ATL", 8.996806353967063], ["DFW", 9.537471921584643], ["ROA", 11.619047619047619], ["IAH", 15.488004218296863], ["ORD", 15.737836411609498], ["EWR", 30.844141069397043], ["TYS", 245.0]]
"LFT"	[["GTR", 0.0], ["IAD", 0.0], ["MCN", 0.0], ["ORF", 0.0], ["TXK", 0.0], ["PHL", 2.0], ["BTR", 3.9990224828934506], ["DCA", 6.125], ["IAH", 7.701908177270111], ["DFW", 10.192555905748161], ["MEI", 12.262108262108262], ["MOB", 13.0], ["ATL", 16.72289391575663], ["MGM", 85.0]]
"LGA"	[["ACK", 0.10526315789473684], ["SFO", 2.787878787878788], ["OMA", 3.0243204577968528], ["DCA", 3.168377280030243], ["BOS", 3.773977116867849], ["CID", 4.575757575757576], ["PHL", 5.0817876700229645], ["LWB", 5.747191011235955], ["SLC", 5.911111111111111], ["ISP", 6.0], ["SJU", 6.01948051948052], ["AGS", 6.809523809523809], ["CRW", 6.863636363636363], ["PIE", 7.306451612903226], ["STT", 7.3936170212765955], ["EGE", 7.449838187702265], ["MKE", 7.536764705882353], ["SWF", 7.6875], ["ABE", 7.88], ["BTV", 8.339644739410502], ["BNA", 8.979608447928715], ["IAH", 9.09170968159701], ["DFW", 9.243247343022649], ["MSY", 9.27909396510325], ["STL", 9.621113784972897], ["MEM", 9.707951679277844], ["BUF", 9.848583910368808], ["SYR", 9.882352941176471], ["CLE", 9.954080602839266], ["DEN", 9.957017345322113], ["ALB", 10.002125398512222], ["CVG", 10.054545943330286], ["ORD", 10.19136868650822], ["BDL", 10.25275880189175], ["HOU", 10.267315868879441], ["BWI", 10.347615562186814], ["IAD", 10.508756843523376], ["MDW", 10.56264406779661], ["MSP", 10.68796852350383], ["XNA", 10.801222493887531], ["MCI", 10.81197190267739], ["PIT", 11.14241502308015], ["ORF", 11.296632420091324], ["MCO", 11.413373815384162], ["CHO", 11.472], ["ROC", 11.480609814197237], ["RIC", 11.51247998492983], ["IND", 11.654990456943978], ["DTW", 11.687377737650648], ["DAY", 11.763151041666667], ["MIA", 11.800194174757282], ["CLT", 11.975898199387624], ["CHS", 12.00433661509611], ["CMH", 12.037953198475194], ["RDU", 12.083210301837271], ["GSO", 12.291390185958877], ["SDF", 12.303103644646924], ["MYR", 12.539877300613497], ["TPA", 12.578604628643362], ["ROA", 12.581935483870968], ["RSW", 12.582822902796272], ["PBI", 12.793830361582724], ["LAX", 12.892857142857142], ["GSP", 12.931117478510028], ["SRQ", 13.431522570772762], ["ATL", 13.462827241390018], ["DAL", 13.995740149094782], ["SAV", 14.010520778537611], ["PWM", 14.231180540993918], ["FLL", 14.409084739628105], ["JAX", 15.49500672852185], ["MHT", 15.603336738168199], ["PVD", 15.621538461538462], ["BHM", 16.143285072391414], ["LAS", 16.37037037037037], ["HSV", 17.051470588235293], ["EWR", 17.75], ["CAE", 18.01480335837384], ["CAK", 18.29115341545353], ["HDN", 18.55], ["PHF", 18.603696498054475], ["VPS", 18.833333333333332], ["LEX", 18.94291338582677], ["MSN", 19.768141592920355], ["DAB", 20.06896551724138], ["TYS", 20.49252291365171], ["GRR", 20.89922048997773], ["DSM", 21.736292428198432], ["BGR", 22.664277180406213], ["ICT", 23.155440414507773], ["TVC", 23.492227979274613], ["JFK", 24.142857142857142], ["MLB", 26.36], ["FNT", 29.319371727748692], ["BTR", 29.968]]
"LGB"	[["PSP", 0.5], ["SAN", 1.4301470588235294], ["ONT", 1.6284153005464481], ["BUR", 2.804524886877828], ["PDX", 3.2367256637168142], ["FAT", 3.2859848484848486], ["SJC", 3.460089071599863], ["OAK", 4.377386196769456], ["ATL", 4.686534216335541], ["PHX", 4.866436242439205], ["DFW", 5.063592210975444], ["DEN", 5.163732394366197], ["SMF", 5.746163417669017], ["BOS", 5.904304979253112], ["LAS", 5.91503349044902], ["SLC", 5.982631578947369], ["IAD", 6.571844809078362], ["MRY", 6.692883895131086], ["SFO", 6.965116279069767], ["FLL", 7.472771084337349], ["RNO", 8.42133815551537], ["JFK", 8.48644165584884], ["STL", 9.111984282907661], ["SEA", 9.708508479489781], ["SBA", 10.447045707915272], ["ORD", 13.530673692133986], ["AUS", 23.78021978021978], ["TUS", 35.0], ["GEG", 53.0]]
"LIH"	[["HNL", 2.3768886299923544], ["OGG", 3.2554517133956384], ["SNA", 3.8260869565217392], ["SEA", 4.969945355191257], ["KOA", 6.09433962264151], ["PHX", 7.302681992337165], ["SFO", 7.8524035206499665], ["DEN", 8.513513513513514], ["LAX", 9.028905809362662], ["SAN", 12.516129032258064]]
"LIT"	[["AUS", 0.0], ["DAY", 0.0], ["IAD", 0.0], ["JAN", 0.0], ["SDF", 0.0], ["OKC", 1.6355932203389831], ["BNA", 1.655515249227462], ["SHV", 2.5714285714285716], ["CLT", 2.9895759298744373], ["ICT", 3.5344827586206895], ["SGF", 3.5379113018597996], ["MEM", 4.336905189317573], ["TUL", 4.707778763679385], ["DEN", 5.717293233082707], ["MSP", 6.156015037593985], ["MCO", 7.2682926829268295], ["STL", 7.357495945006566], ["CVG", 7.646467165419784], ["DAL", 7.679057568926652], ["HOU", 7.962635379061372], ["DFW", 8.371508252876001], ["LAS", 8.716106604866743], ["ATL", 9.170089300106387], ["IAH", 9.322903129061281], ["MDW", 9.637556463755647], ["PHX", 9.820028152020912], ["SLC", 10.406103286384976], ["HSV", 12.408464566929133], ["BWI", 13.671887235708692], ["EWR", 13.79689366786141], ["SAT", 14.75], ["DTW", 15.383307573415765], ["ORD", 17.301894238358326], ["MCI", 18.0], ["MSY", 24.5], ["XNA", 25.0], ["GSO", 85.0]]
