ORD|12020931
ATL|11301229
DFW|10562405
LAX|7574328
PHX|6494512
DEN|6169795
DTW|5491596
IAH|5400340
MSP|5073589
SFO|5050872
STL|5017553
EWR|4963972
LAS|4909631
CLT|4726736
LGA|4162413
BOS|4151167
PHL|3963056
PIT|3849311
SLC|3766990
SEA|3675204
MCO|3674482
CVG|3601896
DCA|3345746
BWI|3175300
SAN|2866765
MIA|2685164
CLE|2655993
IAD|2479807
TPA|2452800
JFK|2450530
HOU|2231204
MEM|2228414
BNA|2194328
MDW|2179765
MCI|2175516
OAK|2160830
SJC|2049905
PDX|1962984
RDU|1907481
FLL|1878092
MSY|1767339
DAL|1763238
IND|1533418
SMF|1516744
SNA|1515269
SAT|1505305
AUS|1489405
ONT|1445987
ABQ|1416068
CMH|1400946
BDL|1195884
BUR|1077988
PBI|991877
HNL|964715
JAX|963503
ELP|961052
RNO|951107
BUF|903049
OKC|896015
TUL|871491
SDF|858843
SJU|855373
MKE|821791
PVD|811805
ORF|795411
TUS|773869
BHM|755060
OMA|754529
RSW|746024
ANC|721254
GSO|716632
DAY|704929
ROC|680182
RIC|658168
SYR|619803
LIT|611758
ALB|539578
COS|500415
GEG|490043
BOI|445222
GRR|444282
MHT|442028
CHS|412661
DSM|408987
ICT|388405
TYS|373034
GSP|370458
JAN|353376
SAV|344209
LBB|321190
SRQ|314870
CAE|313077
OGG|310789
MDT|308513
HSV|295728
PWM|295383
LGB|292380
PNS|291234
MAF|290913
ISP|286274
BTR|279078
PSP|274373
MSN|271666
FAT|255538
LEX|243789
AMA|243504
SHV|238924
CID|234963
ABE|228782
CRP|227901
SBA|223629
MOB|223237
HPN|222141
HRL|215161
BTV|204561
FSD|190948
TLH|190765
FAI|182620
BIL|172177
DAB|163363
JNU|161553
XNA|160035
GRB|158176
MYR|154856
SGF|152005
CAK|150900
KOA|146589
FWA|144033
LIH|140728
MLI|140268
MBS|138860
EUG|136564
BZN|133098
CHA|131951
ROA|128879
MFE|128376
MRY|126129
MLB|125481
LAN|124304
SBN|121982
FAR|120865
LNK|120032
AZO|117564
CRW|113491
GTF|113392
STT|110463
RST|108807
TOL|108684
SWF|107524
ILM|106668
AVL|106374
VPS|105831
FNT|104934
MSO|104450
MFR|103459
MGM|100288
RAP|99982
AGS|99886
BGR|99705
MLU|96293
KTN|94487
GPT|91119
BIS|90544
TRI|90389
EVV|88098
AVP|86755
JAC|84894
FAY|82780
PHF|82654
PIA|79644
SBP|77107
PSC|72614
LFT|71551
BFL|69718
ITO|68004
IDA|67750
GNV|67559
GJT|65156
TVC|63341
FCA|62005
DLH|60654
ERI|53915
SIT|52329
LSE|52314
MOT|51114
DET|50960
STX|50482
CMI|50211
CPR|49638
HLN|49466
BGM|49305
PFN|48752
ATW|45200
EGE|44754
ELM|44582
GFK|44086
ACV|43946
YUM|43168
BMI|41636
GRK|41496
RDM|38928
ABI|38376
OME|38198
ACT|37238
SGU|36862
OTZ|36861
DRO|36688
CHO|36491
TYR|36256
CLL|35906
HDN|35527
BET|35285
CSG|34705
SUN|34061
ITH|33799
SUX|33543
AEX|32867
FSM|32669
LRD|32414
HTS|32342
MTJ|32306
LAW|31693
FLG|31621
SPS|30983
EYW|30797
SJT|29376
GUM|29358
BRO|28013
CDV|27825
YAK|27253
CLD|27165
WRG|26373
PSG|26130
ORH|25003
ASE|24889
EKO|24177
TWF|23539
BRW|23123
RDD|22564
ILE|22347
MOD|22322
SMX|22267
PIH|20884
SCC|20725
TXK|20696
BTM|20600
OAJ|20439
DHN|19964
OXR|18150
ADQ|18015
DBQ|17683
SPN|17424
LYH|17321
GGG|16947
ACY|16882
BPT|16397
BQN|16167
LCH|15335
ABY|15177
GTR|14303
GUC|14122
MCN|13886
VLD|13870
CIC|13770
HVN|13462
BQK|13233
BLI|13231
CWA|13206
COD|12991
PUB|12597
SCE|12501
PIE|12438
MEI|11830
CEC|11757
IYK|11507
IPL|10953
AKN|10837
ISO|10796
GCN|10792
SPI|10687
MQT|10292
FLO|9538
DUT|9198
DLG|8768
UCA|8614
CCR|7916
APF|7264
CDC|7192
EFD|6956
PMD|6469
SCK|6308
TVL|5691
PSE|5439
LWS|5251
VCT|4724
ROR|4208
TUP|3760
VIS|3692
ROP|3601
EAU|3555
GST|3497
HHH|3359
YKM|3332
LWB|3321
ACK|3267
TTN|3213
WYS|3188
RFD|3075
EWN|2506
ALO|2097
ROW|2026
SLE|1756
PLN|1495
ILG|1491
GCC|1476
HKY|1283
YAP|1281
RKS|1165
TEX|1108
ADK|1032
CMX|970
ANI|821
KSM|796
MKG|780
RHI|729
SOP|616
LNY|549
OTH|538
LMT|536
INL|535
MKK|533
BJI|375
MTH|250
MAZ|224
MIB|176
RDR|92
CKB|14
PIR|7
OGD|5
GLH|4
PVU|3
FMN|3
MKC|2
CYS|2
BFF|1
CBM|1
BFI|1
